hanke;kortteli;tontti;asemakaava_lainvoimainen;osa_alue;pienalue;asuinkerrosala;muu_ala;asuntojen_maara;rakentamisvalmiusvuosi;aloitusvuosi;valmistumisvuosi;valmistumisaika;hallinta;hallintasuhde;rahoitusmuoto;hitas;erityisryhmä;talotyyppi;rakennuttaja;maanomistus;post_code;AAGR;AAGR_vaesto;peruskorko
651;3056;16;1980-08-27 00:00:00;030 Kaartinkaupunki;302;2835;0;39;0;2013;2015;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;AURATUM ASUNNOT OY;Yksityinen;130;5,883706785;0,401292046;0,75
654;32062;35;2002-08-02 00:00:00;320 Konala;3202;981;0.0;10;2002.0;2003;2004;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;TUNTEMATON;Yksityinen;390;3,996363534;1,657450466;3,25
671;39092;10;1953-08-30 00:00:00;391 Tapaninvainio;3912;704;0.0;14;1986.0;2019;2020;34.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;PUUKOTI GROUP;Yksityinen;780;3,168852193;0,042177595;-0,25
673;33140;7;1985-07-12 00:00:00;331 Kannelmäki;3311;311;0.0;2;0;2002;2007;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;TUNTEMATON;Yksityinen;420;3,889135139;0,066129681;3,5
683;34027;13;1982-07-09 00:00:00;342 Itä-Pakila;3426;656;0.0;6;0;2021;2021;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;DUOKODIT OY;Yksityinen;680;3,849290882;0,067423044;-0,5
685;34068;25;2009-09-11 00:00:00;341 Länsi-Pakila;3412;152;0.0;1;1978.0;2017;2017;39.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Yksityinen;660;3,722342878;0,398446727;0
690;34088;53;1979-10-11 00:00:00;341 Länsi-Pakila;3412;280;0.0;3;0;2004;2005;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;TUNTEMATON;Yksityinen;660;3,722342878;0,398446727;2,25
698;35013;2;1972-11-29 00:00:00;351 Paloheinä;3511;1529;0.0;13;2000.0;2000;2001;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;MESTA OY;Yksityinen;670;3,534406535;0,173475075;3,5
702;38337;4;2000-08-11 00:00:00;385 Malmin lentokenttä;3852;3500;0.0;46;1994.0;2003;2004;10.0;Välimuoto;Omistusasuntoja;Yhtiölainan korkotuki;Hitas;Ei erityisryhmää;Kerrostalo;ATT;Kaupunki;730;3,891022323;4,22900964;3,25
707;38337;2;2000-08-11 00:00:00;385 Malmin lentokenttä;3852;2800;0.0;36;1995.0;2003;2004;9.0;Välimuoto;Asumisoikeusasuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Ei erityisryhmää;Kerrostalo;ATT;Kaupunki;730;3,891022323;4,22900964;3,25
710;35027;2;1972-11-29 00:00:00;351 Paloheinä;3511;749;0.0;6;1973.0;2008;2009;36.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;TUNTEMATON;Yksityinen;670;3,534406535;0,173475075;4,75
717;35064;11;1972-11-29 00:00:00;351 Paloheinä;3511;360;0.0;4;1973.0;2001;2002;29.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;TUNTEMATON;Yksityinen;670;3,534406535;0,173475075;5,25
726;37030;17;1981-07-16 00:00:00;370 Pukinmäki;3701;582;0.0;12;1982.0;2005;2006;24.0;ARA-vuokra;Vuokra-asuntoja;Valtion laina;Ei Hitas;Nuoriso;Rivitalo;ALKUASUNNOT;Kaupunki;720;3,378717611;-0,219190505;2,25
727;3050;5;2014-07-18 00:00:00;030 Kaartinkaupunki;303;360;0;4;0;2012;2014;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;K.OY HGIN LUDVIGINKATU 3-5;Yksityinen;130;5,883706785;0,401292046;2
736;39013;4;1986-07-25 00:00:00;391 Tapaninvainio;3917;340;0.0;4;1986.0;2000;2001;15.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;TUNTEMATON;Yksityinen;780;3,168852193;0,042177595;3,5
737;39013;5;1986-07-25 00:00:00;391 Tapaninvainio;3917;400;0.0;4;1986.0;2001;2001;15.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;TUNTEMATON;Yksityinen;780;3,168852193;0,042177595;5,25
749;39030;5;1988-04-29 00:00:00;391 Tapaninvainio;3911;265;0.0;1;0;2001;2002;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;TUNTEMATON;Yksityinen;780;3,168852193;0,042177595;5,25
754;39051;7;1966-10-31 00:00:00;391 Tapaninvainio;3911;309;0.0;2;0;2022;2023;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;TUNTEMATON;Yksityinen;780;3,168852193;0,042177595;-0,5
755;5093;5;2019-05-17 00:00:00;050 Punavuori;502;1349;0;32;0;2018;2018;0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;LUMO-KODIT;Yksityinen;120;5,723487286;0,587493052;-0,25
758;39055;45;1986-07-25 00:00:00;391 Tapaninvainio;3911;190;0.0;1;0;2002;2003;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;TUNTEMATON;Yksityinen;780;3,168852193;0,042177595;3,5
762;39092;27;1990-02-23 00:00:00;391 Tapaninvainio;3912;158;0.0;2;0;1997;2000;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;TUNTEMATON;Yksityinen;780;3,168852193;0,042177595;0
766;47010;7;2002-08-02 00:00:00;471 Kontula;4712;1350;0.0;14;2002.0;2004;2005;3.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Ei erityisryhmää;Rivitalo;SKANSKA;Kaupunki;940;3,155295611;0,387584974;2,25
768;39099;10;1978-03-16 00:00:00;391 Tapaninvainio;3912;370;0.0;3;0;2019;2019;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;YKSITYISHENKILÖ(T);Yksityinen;780;3,168852193;0,042177595;-0,25
777;47203;20;1998-01-16 00:00:00;473 Mellunmäki;4731;2850;0.0;43;1989.0;2000;2001;12.0;ARA-vuokra;Vuokra-asuntoja;Valtion tuki;Ei Hitas;Vanhukset;Kerrostalo;SATO-YHTYMÄ OYJ;Kaupunki;970;2,6411054;0,588188926;3,5
806;28158;5;1953-10-05 00:00:00;284 Patola;2848;422;0.0;3;0;2012;2013;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;MUU RAKENNUTTAJA;Yksityinen;640;4,028670904;0,48461559;2
820;38337;1;2000-08-11 00:00:00;385 Malmin lentokenttä;3852;2200;100.0;29;1995.0;2003;2004;9.0;ARA-vuokra;Vuokra-asuntoja;Valtion laina;Ei Hitas;Ei erityisryhmää;Kerrostalo;ATT;Kaupunki;730;3,891022323;4,22900964;3,25
840;33194;3;1997-11-21 00:00:00;331 Kannelmäki;3312;5500;0.0;75;1997.0;2000;2001;4.0;ARA-vuokra;Vuokra-asuntoja;Valtion laina;Ei Hitas;Ei erityisryhmää;Kerrostalo;ATT;Valtio;420;3,889135139;0,066129681;3,5
